pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,lat,long,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_met,sy_dist,st_logg,pl_orbsmax
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,19.8238,-155.4689,11.561052,18.647,3000,0,98.57,0.02,139.135,4,330
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,19.8255,-155.476,11.561052,13,1271.31363,0,98.57,0.02,128.484,4.5,118
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,2013,-24.628,-70.40489,11.561052,12.3,4131.79,0,98.57,0.02,47.2,0,84
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,11.209,7786.5,0,98.57,0.02,33.8281,4.86,52
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,-30.169,-70.804,11.561052,16.141,4417.837,0,98.57,0.02,40.0896412,4.59,156
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,20,11.561052,12.6,2383.6,0,98.57,0.02,120.423987,5.01,15
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,-24.628,-70.40489,11.561052,12.9,1589.15,0,98.57,0.02,64.308,5.03,55
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,0,11.561052,13.4,603.877,0.33,98.57,0.02,396.332,5.51,0.92
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,12.3,3972.875,0,98.57,0.02,69.5737,4.62,230
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,19.8238,-155.4689,11.561052,13.4,635.66,0.45,98.57,0.02,29.7575,4.31,13.2
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,19.8255,-155.476,11.561052,12.5,2860.45566,0.4,98.57,0.02,162.127,3.77,93.9
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,-24.628,-70.40489,11.561052,12.3,4290.5,0,98.57,0.02,50.0475,4.53,260
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,-24.628,-70.40489,11.561052,13.1,1017.0509,0.24,98.57,0.02,26.8564,4.4,8.4
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Multiple Observatories,40,20,11.561052,1.02,1.053,0.00305,98.57,0.02,9.7221,4.4,0
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,30,30,11.561052,14.684,4767.4261,0,98.57,0.02,44.9543,4.55,1662
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,19.82636111,-155.4750111,11.561052,12.4,3337.1,0,98.57,0.02,23.1,4.72,2.6
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,0,20,11.561052,20.849,2479.06157,0,98.57,0.02,411.144,3.85,200
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,0,20,11.561052,12.3,3994.486,0,98.57,0.02,411.144,0,210
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),19.8262,-155.4719,11.561052,12.442,2002.31896,0,98.57,0.02,411.144,4.83,7506
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,-24.628,-70.40489,11.561052,24.66,5403,0,98.57,0.02,411.144,3.66,440
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Multiple Facilities,75,-120,11.561052,12.4,3823.2733,0,98.57,0.02,411.144,4.8,5.75
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Paranal Observatory,-24.628,-70.40489,11.561052,11.9,9057.77,0.345,98.57,0.02,411.144,0,0.36
DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,19.8255,-155.476,11.561052,30.264,3496,0,98.57,0.02,411.144,4,330
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,25.0222,102.79,11.561052,12.7,1995.88832,0.39,98.57,0.02,411.144,0,8.19
FU Tau b,FU Tau,1,1,Imaging,2008,Spitzer Space Telescope,0,0,11.561052,12.2,5085.28,0,98.57,0.02,411.144,0,800
GJ 504 b,GJ 504,1,1,Imaging,2013,Subaru Telescope,19.8255,-155.476,11.561052,13,1271.3,0,98.57,0.02,411.144,4.6,43.5
GJ 896 A b,GJ 896 A,2,1,Astrometry,2022,Very Long Baseline Array,19.8016,-155.4556,11.561052,13.3,718.2922,0.35,98.57,0.02,411.144,4.83,0.63965
GQ Lup b,GQ Lup,1,1,Imaging,2004,Paranal Observatory,-24.628,-70.40489,11.561052,33.6,6356,0,98.57,0.02,411.144,3.65,100
GSC 06214-00210 b,GSC 06214-00210,1,1,Imaging,2010,Palomar Observatory,33.3563,-116.865,11.561052,20.176,5000,0,98.57,0.02,411.144,4.37,320
GU Psc b,GU Psc,1,1,Imaging,2014,Gemini Observatory,19.8238,-155.4689,11.561052,14.179,3591.3,0,98.57,0.02,411.144,4.78,2000
HD 100546 b,HD 100546,1,1,Imaging,2014,Paranal Observatory,-24.628,-70.40489,11.561052,77.342,2701.54146,0,98.57,0.02,411.144,4.33,53
HD 106906 b,HD 106906,1,1,Imaging,2013,Las Campanas Observatory,-29.0146,-70.6926,11.561052,12.4,3496,0,98.57,0.02,411.144,3.9,650
HD 169142 b,HD 169142,1,1,Imaging,2023,Paranal Observatory,-24.628,-70.40489,11.561052,13.1,953.48522,0,98.57,0.02,411.144,4.28,37.2
HD 203030 b,HD 203030,1,1,Imaging,2006,Palomar Observatory,33.3563,-116.865,11.561052,14.46,3496.11248,0,98.57,0.02,411.144,4.64,487.1
HD 206893 b,HD 206893,1,2,Imaging,2021,Gemini Observatory,19.8238,-155.4689,11.561052,14.011,8899.1954,0.14,98.57,0.02,411.144,4.45,9.6
HD 206893 c,HD 206893,1,2,Imaging,2022,European Southern Observatory,48.2596,11.671,11.561052,16.365,4036.42077,0.41,98.57,0.02,411.144,4.34,3.53
HD 95086 b,HD 95086,1,1,Imaging,2013,Paranal Observatory,-24.628,-70.40489,11.561052,12.9,1589,0,98.57,0.02,411.144,4.34,55.7
HD 97048 b,HD 97048,1,1,Disk Kinematics,2019,Atacama Large Millimeter Array (ALMA),-23.0235,-67.7539,11.561052,13.3,794.575,0,98.57,0.02,411.144,4.14,130
HIP 21152 b,HIP 21152,2,1,Imaging,2022,Multiple Observatories,40,20,11.561052,12,7627.88177,0.36,98.57,0.02,411.144,4.3,17
HIP 65426 b,HIP 65426,1,1,Imaging,2017,Paranal Observatory,-24.628,-70.40489,11.561052,16.814,2860.47,0,98.57,0.02,411.144,4.32,92
HIP 66074 b,HIP 66074,1,1,Astrometry,2023,European Space Agency (ESA) Gaia Satellite,-30,90,11.561052,12.9,1589.14204,0.948,98.57,0.02,411.144,4.58,0.799
HIP 78530 b,HIP 78530,1,1,Imaging,2010,Gemini Observatory,19.8238,-155.4689,11.561052,12,7300,0,98.57,0.02,411.144,4.13,740
HIP 79098 AB b,HIP 79098 AB,2,1,Imaging,2019,Paranal Observatory,-24.628,-70.40489,11.561052,12.1,6515.515,0,98.57,0.02,411.144,0,345
HIP 81208 C b,HIP 81208 C,3,1,Imaging,2023,Paranal Observatory,-24.628,-70.40489,11.561052,12.3,4703.86042,0,98.57,0.02,411.144,0,23.04
HIP 99770 b,HIP 99770,1,1,Imaging,2023,Multiple Observatories,40,20,11.561052,12.2,5117.03735,0.25,98.57,0.02,411.144,4.14,16.9
